game_key,lineup_spot,player_name,pa,ab,h,1b,2b,3b,hr,rbi,r,bb,so,sf,fc,gidp,outs,notes
soviet-sluggers-2021-06-02-2130-long-ballers,11,Jason,4,3,1,1,0,0,0,1,0,1,0,0,0,0,,
soviet-sluggers-2021-06-09-1830-swan-song,1,Layshock,4,4,4,3,0,1,0,1,1,0,0,0,0,0,,
soviet-sluggers-2021-06-09-1830-swan-song,2,JT,4,4,4,4,0,0,0,3,2,0,0,0,0,0,,
soviet-sluggers-2021-06-09-1830-swan-song,3,Porter,4,4,3,2,0,1,0,0,3,0,0,0,0,0,,
soviet-sluggers-2021-06-09-1830-swan-song,4,Duff,4,4,3,1,1,1,0,3,1,0,0,0,0,0,,
soviet-sluggers-2021-06-09-1830-swan-song,5,Walsh,4,4,2,2,0,0,0,1,0,0,0,0,0,0,,
soviet-sluggers-2021-06-09-1830-swan-song,6,JJ,4,4,2,2,0,0,0,0,1,0,1,0,0,0,,
soviet-sluggers-2021-06-09-1830-swan-song,7,Corey,4,4,2,0,1,0,1,2,2,0,0,0,0,0,,
soviet-sluggers-2021-06-09-1830-swan-song,8,Stevie,4,4,2,2,0,0,0,1,1,0,0,0,0,0,,
soviet-sluggers-2021-06-09-1830-swan-song,9,Glove,4,4,2,2,0,0,0,1,1,0,0,0,0,0,,
soviet-sluggers-2021-06-09-1830-swan-song,10,Teo,4,3,1,0,1,0,0,2,0,0,0,1,0,0,,
soviet-sluggers-2021-06-09-1830-swan-song,11,Jason,4,4,1,1,0,0,0,0,2,0,0,0,1,0,,
soviet-sluggers-2021-06-09-1930-swan-song,1,JT,4,4,2,2,0,0,0,0,1,0,0,0,0,0,,
soviet-sluggers-2021-06-09-1930-swan-song,2,Porter,3,3,2,1,1,0,0,0,1,0,0,0,0,0,,
soviet-sluggers-2021-06-09-1930-swan-song,3,Teo,3,3,2,2,0,0,0,2,0,0,0,0,0,0,,
soviet-sluggers-2021-06-09-1930-swan-song,4,Glove,3,3,2,1,0,0,1,2,1,0,0,0,0,0,,
soviet-sluggers-2021-06-09-1930-swan-song,5,Layshock,4,4,1,1,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-06-09-1930-swan-song,6,Walsh,3,3,1,1,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-06-09-1930-swan-song,7,Corey,3,3,1,1,0,0,0,0,1,0,0,0,0,0,,
soviet-sluggers-2021-06-09-1930-swan-song,8,Stevie,3,3,1,1,0,0,0,0,1,0,0,0,0,0,,
soviet-sluggers-2021-06-09-1930-swan-song,9,Duff,3,2,1,1,0,0,0,1,1,0,0,1,0,0,,
soviet-sluggers-2021-06-09-1930-swan-song,10,JJ,3,3,0,0,0,0,0,0,0,0,0,0,1,0,,
soviet-sluggers-2021-06-09-1930-swan-song,11,Jason,3,2,0,0,0,0,0,1,0,1,0,0,0,0,,
soviet-sluggers-2021-06-16-0930-biohazard,1,Layshock,4,4,3,2,0,1,0,0,3,0,0,0,0,0,,
soviet-sluggers-2021-06-16-0930-biohazard,2,Corey,3,3,3,3,0,0,0,1,2,0,0,0,0,0,,
soviet-sluggers-2021-06-16-0930-biohazard,3,Porter,4,3,3,2,1,0,0,4,2,0,0,1,0,0,,
soviet-sluggers-2021-06-16-0930-biohazard,4,Glove,3,3,3,3,0,0,0,1,2,0,0,0,0,0,,
soviet-sluggers-2021-06-16-0930-biohazard,5,JJ,3,3,2,1,0,0,1,6,1,0,0,0,0,0,,
soviet-sluggers-2021-06-16-0930-biohazard,6,Teo,4,3,2,1,1,0,0,1,3,1,0,0,0,0,,
soviet-sluggers-2021-06-16-0930-biohazard,7,Stevie,3,3,2,2,0,0,0,1,3,0,0,0,1,0,,
soviet-sluggers-2021-06-16-0930-biohazard,8,Jason,3,3,2,2,0,0,0,0,1,0,0,0,0,0,,
soviet-sluggers-2021-06-16-0930-biohazard,9,Duff,3,3,1,0,0,1,0,1,0,0,0,0,1,0,,
soviet-sluggers-2021-06-16-0930-biohazard,10,Kives,3,2,1,0,0,0,1,3,1,0,0,1,0,0,,
soviet-sluggers-2021-06-16-0930-biohazard,11,JT,4,4,0,0,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-06-16-0930-biohazard,12,AJ,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-06-16-2030-biohazard,1,Stevie,3,3,3,3,0,0,0,2,2,0,0,0,0,0,,
soviet-sluggers-2021-06-16-2030-biohazard,2,AJ,3,3,3,2,1,0,0,2,1,0,0,0,0,0,,
soviet-sluggers-2021-06-16-2030-biohazard,3,Corey,3,3,2,1,1,0,0,2,2,0,1,0,0,0,,
soviet-sluggers-2021-06-16-2030-biohazard,4,Teo,3,3,2,2,0,0,0,1,1,0,0,0,0,0,,
soviet-sluggers-2021-06-16-2030-biohazard,5,Glove,3,2,2,2,0,0,0,0,3,1,0,0,0,0,,
soviet-sluggers-2021-06-16-2030-biohazard,6,Duff,2,2,2,2,0,0,0,1,1,0,0,0,0,0,,
soviet-sluggers-2021-06-16-2030-biohazard,7,Kives,3,3,2,2,0,0,0,3,3,0,0,0,1,0,,
soviet-sluggers-2021-06-16-2030-biohazard,8,JJ,3,1,1,1,0,0,0,2,0,0,0,2,0,0,,
soviet-sluggers-2021-06-16-2030-biohazard,9,Porter,3,3,1,1,0,0,0,0,1,0,0,0,0,0,,
soviet-sluggers-2021-06-16-2030-biohazard,10,Jason,3,3,1,1,0,0,0,1,1,0,0,0,0,0,,
