season,view,situation,pa,ab,h,1b,2b,3b,hr,tb,rbi,so,bb,hbp,sac,sf,roe,avg,obp,slg,ops
Maple Tree Spring 2026,game_state,Trailing,249,228,93,60,14,1,18,163,65,9,19,0,0,2,0,0.408,0.45,0.715,1.165
Maple Tree Spring 2026,game_state,Lead off inning,78,73,29,21,3,1,4,46,4,3,5,0,0,0,0,0.397,0.436,0.63,1.066
Maple Tree Spring 2026,batted_balls,Pop fly,3,3,3,3,0,0,0,3,3,0,0,0,0,0,0,1.0,1.0,1.0,2.0
Maple Tree Spring 2026,batted_balls,Hard ground ball,28,28,23,21,2,0,0,25,12,0,0,0,0,0,0,0.821,0.821,0.893,1.714
Maple Tree Spring 2026,batted_balls,Line drive,136,136,103,66,26,3,8,159,62,0,0,0,0,0,0,0.757,0.757,1.169,1.926
Maple Tree Spring 2026,batted_balls,Ground ball,117,117,45,44,1,0,0,46,19,0,0,0,0,0,0,0.385,0.385,0.393,0.778
Maple Tree Spring 2026,batted_balls,Fly ball,134,130,32,5,2,2,23,107,50,0,0,0,0,4,0,0.246,0.239,0.823,1.062
Maple Tree Summer 2026,game_state,Tied game,7,7,7,4,3,0,0,10,4,0,0,0,0,0,0,1.0,1.0,1.429,2.429
Maple Tree Summer 2026,game_state,Bases loaded,6,3,2,2,0,0,0,2,8,0,0,0,0,3,0,0.667,0.333,0.667,1.0
Maple Tree Summer 2026,game_state,Lead off inning,27,25,15,12,1,1,1,21,1,2,2,0,0,0,0,0.6,0.63,0.84,1.47
Maple Tree Summer 2026,game_state,0 outs,61,55,31,24,4,2,1,42,15,2,3,0,0,3,0,0.564,0.557,0.764,1.321
Maple Tree Summer 2026,game_state,Bases empty,47,44,24,19,2,2,1,33,1,2,3,0,0,0,0,0.545,0.574,0.75,1.324
Maple Tree Summer 2026,game_state,1 out,55,51,27,21,4,1,1,36,18,0,1,0,0,3,0,0.529,0.509,0.706,1.215
Maple Tree Summer 2026,game_state,Wins,122,113,59,44,8,5,2,83,40,2,5,0,0,4,0,0.522,0.525,0.735,1.259
Maple Tree Summer 2026,game_state,Scoring position,60,53,27,20,4,2,1,38,41,0,1,0,0,6,0,0.509,0.467,0.717,1.184
Maple Tree Summer 2026,game_state,Leading,115,106,52,40,5,5,2,73,36,2,5,0,0,4,0,0.491,0.496,0.689,1.184
Maple Tree Summer 2026,game_state,Runners on,106,98,45,34,7,3,1,61,43,0,2,0,0,6,0,0.459,0.443,0.622,1.066
Maple Tree Summer 2026,game_state,Trailing,31,29,10,9,1,0,0,11,4,0,0,0,0,2,0,0.345,0.323,0.379,0.702
Maple Tree Summer 2026,game_state,Losses,31,29,10,9,1,0,0,11,4,0,0,0,0,2,0,0.345,0.323,0.379,0.702
Maple Tree Summer 2026,game_state,2 outs,37,36,11,8,1,2,0,16,11,0,1,0,0,0,0,0.306,0.324,0.444,0.769
Maple Tree Summer 2026,batted_balls,Hard ground ball,9,9,8,8,0,0,0,8,3,0,0,0,0,0,0,0.889,0.889,0.889,1.778
Maple Tree Summer 2026,batted_balls,Line drive,50,49,39,28,6,4,1,56,20,0,0,0,0,1,0,0.796,0.78,1.143,1.923
Maple Tree Summer 2026,batted_balls,Ground ball,22,22,7,6,1,0,0,8,6,0,0,0,0,0,0,0.318,0.318,0.364,0.682
Maple Tree Summer 2026,batted_balls,Fly ball,65,60,15,11,2,1,1,22,15,0,0,0,0,5,0,0.25,0.231,0.367,0.597
